,fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
35,48071,US,TX,Chambers County,county,,iso1:us#iso2:us-tx#fips:48071,,43837,0.0841,other,12.057655144545214,,0.64286839819,0.5138133825300001,inf,,,2,1,2,4,0,4,4,4632,47,,,,39.0,9.0,1,0.09,0.0,,1,,0,,8563,4538,2021-04-05,https://covidactnow.org/us/texas-tx/county/chambers_county,0.19533727216734725,0.1035198576544928,0,12917
36,48073,US,TX,Cherokee County,county,,iso1:us#iso2:us-tx#fips:48073,,52646,0.0165,other,3.5276048648384633,,0.8174386627789999,0.973738173171,0.8454106284889962,,0.3333333333333333,1,0,1,4,0,3,0,4102,136,,,,388.0,25.0,1,0.76,6.0,2.0,1,,0,,8663,5611,2021-04-05,https://covidactnow.org/us/texas-tx/county/cherokee_county,0.1645519127758994,0.10657979713558488,1,13540
37,48075,US,TX,Childress county,county,,iso1:us#iso2:us-tx#fips:48075,,7306,0.026,other,2.2812300392371565,,0.953279649279,1.062921415211,,,,1,0,1,4,1,4,4,1336,17,,,,39.0,6.0,0,0.19,0.0,,0,,0,,1681,1237,2021-04-05,https://covidactnow.org/us/texas-tx/county/childress_county,0.2300848617574596,0.16931289351218176,0,2842
38,48077,US,TX,Clay County,county,,iso1:us#iso2:us-tx#fips:48077,,10471,0.0286,other,8.185873910255536,,1.14560756191,1.1657612256399998,,,,2,0,1,4,2,4,4,1023,16,,,,25.0,4.0,0,0.06,0.0,,0,,0,,2978,2549,2021-04-05,https://covidactnow.org/us/texas-tx/county/clay_county,0.28440454588864483,0.24343424696781585,0,5446
39,48079,US,TX,Cochran county,county,,iso1:us#iso2:us-tx#fips:48079,,2853,,other,0.0,,,,,,,0,4,0,4,4,4,4,263,15,,,,18.0,3.0,0,0.0,0.0,,0,,0,,2131,605,2021-04-05,https://covidactnow.org/us/texas-tx/county/cochran_county,0.7469330529267437,0.21205748335085875,0,2616
40,48081,US,TX,Coke county,county,,iso1:us#iso2:us-tx#fips:48081,,3387,,other,16.87123033447214,,0.7605370918350001,1.305446491895,,,,2,4,2,4,0,4,4,443,12,,,,,,0,,,,0,,0,,874,583,2021-04-05,https://covidactnow.org/us/texas-tx/county/coke_county,0.2580454679657514,0.172128727487452,0,1441
41,48083,US,TX,Coleman County,county,,iso1:us#iso2:us-tx#fips:48083,,8175,,other,3.494975972040192,,0.923839056978,1.411119093892,,,,1,4,1,4,1,4,4,737,32,,,,25.0,8.0,1,0.32,0.0,,0,,0,,1849,1097,2021-04-05,https://covidactnow.org/us/texas-tx/county/coleman_county,0.22617737003058105,0.13418960244648315,0,2845
42,48085,US,TX,Collin County,county,,iso1:us#iso2:us-tx#fips:48085,,1034730,0.0513,other,12.177089675567537,,1.0296885006999998,0.15388415304000014,0.17544826571636868,,0.8875,2,1,2,4,1,0,3,84938,797,,,,2827.0,723.0,35,0.69,160.0,142.0,17,0.58,139,,324112,189281,2021-04-05,https://covidactnow.org/us/texas-tx/county/collin_county,0.3132334038831386,0.182927913561992,0,504488
43,48087,US,TX,Collingsworth County,county,,iso1:us#iso2:us-tx#fips:48087,,2920,0.0625,other,24.46183953033268,,1.21236956523,0.8937281671600004,,,,2,1,2,4,2,4,4,290,9,,,,15.0,1.0,0,0.19,0.0,,0,,0,,721,525,2021-04-05,https://covidactnow.org/us/texas-tx/county/collingsworth_county,0.2469178082191781,0.1797945205479452,0,1181
44,48089,US,TX,Colorado County,county,,iso1:us#iso2:us-tx#fips:48089,,21493,0.1802,other,15.287369309609108,,0.901912914838,0.8342400298020002,0.5247376311844077,,,2,2,2,4,1,1,4,1659,27,,,,103.0,13.0,0,0.18,4.0,4.0,1,,5,,6210,4266,2021-04-05,https://covidactnow.org/us/texas-tx/county/colorado_county,0.28893127995161216,0.19848322709719446,0,9666
